"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"241",6.39016699605829,"2872","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"242",5.05462426134362,"2532","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"243",-0.522779093353555,"1637","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"244",8.81809201605279,"2392","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"245",4.85777082748254,"2734","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"246",7.59243215160008,"1048","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"247",6.05202269201948,"1050","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"248",8.98622945463669,"1477","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"249",7.4338865883492,"1570","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"250",4.20373744898296,"1574","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"251",4.50658688157205,"1093","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"252",3.44343031555507,"1639","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"253",7.37852228473477,"1124","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"254",-4.40980349910854,"1539","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"255",-8.24443253263976,"1740","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"256",-8.26840079920254,"1271","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"257",-8.06360801374506,"1544","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"258",-6.64805328065959,"2555","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"259",-7.45765878363512,"2519","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
"260",1.18210015172712,"2363","Time1","Ambient","M. capitata","Time1 Ambient M. capitata","Ambient M. capitata"
